"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Kidney|Urine|Midazolam|Fraction excreted to urine","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Liver|Periportal|Intracellular|Midazolam-CYP3A4-Optimized Metabolite|Fraction of dose-Midazolam","Organism|Liver|Periportal|Intracellular|Midazolam-UGT1A4-Optimized Metabolite|Fraction of dose-Midazolam"
0,0,0,0,0,0,0,0
0,3,0.1685103,0.1351445,0.0009927849,0,0.09084439,0.002118399
0,6,0.1018242,0.08335845,0.001260675,0,0.1768158,0.004122911
0,9,0.06860113,0.05734009,0.001428479,0,0.226003,0.005269321
0,12,0.05207931,0.04481041,0.001548027,0,0.2567931,0.005986809
0,15,0.04370613,0.03837539,0.001644073,0,0.2787899,0.006499344
0,18,0.03916902,0.03474895,0.001727799,0,0.2963548,0.006908595
0,21,0.03643866,0.03246213,0.001804392,0,0.3115395,0.007262379
0,24,0.03457796,0.03083785,0.001876344,0,0.325336,0.007583816
0,27,0.03315225,0.02955682,0.001944899,0,0.3382369,0.007884383
0,30,0.03195737,0.02846505,0.002010713,0,0.3504941,0.008169952
0,33,0.03089567,0.02748694,0.002074152,0,0.3622415,0.008443644
0,36,0.02991927,0.02658437,0.002135444,0,0.3735547,0.008707217
0,39,0.02900373,0.02573733,0.002194742,0,0.3844795,0.008961741
0,42,0.02813603,0.02493481,0.002252165,0,0.3950467,0.009207929
0,45,0.02730914,0.02417071,0.002307806,0,0.4052782,0.009446301
0,48,0.02651865,0.02344105,0.002361751,0,0.415192,0.009677269
0,51,0.02576139,0.02274295,0.002414073,0,0.4248037,0.009901197
0,54,0.02503507,0.02207429,0.002464845,0,0.4341269,0.0101184
0,57,0.02433805,0.02143345,0.002514129,0,0.4431741,0.01032918
0,60,0.02366886,0.02081902,0.002561989,0,0.4519567,0.01053379
0,63,0.02302606,0.02022961,0.002608481,0,0.4604858,0.01073249
0,66,0.02240832,0.01966396,0.002653663,0,0.468772,0.01092554
0,69,0.02181448,0.01912094,0.002697586,0,0.4768249,0.01111315
0,72,0.02124345,0.01859947,0.002740301,0,0.4846541,0.01129554
0,75,0.02069416,0.01809855,0.002781856,0,0.4922683,0.01147293
0,78,0.02016558,0.01761717,0.002822296,0,0.4996761,0.01164551
0,81,0.01965676,0.01715442,0.002861664,0,0.5068857,0.01181347
0,84,0.01916678,0.01670942,0.002900002,0,0.5139048,0.01197699
0,87,0.01869479,0.01628134,0.00293735,0,0.5207406,0.01213624
0,90,0.01823998,0.01586941,0.002973745,0,0.5274001,0.01229139
0,93,0.01780159,0.0154729,0.003009222,0,0.5338902,0.01244259
0,96,0.01737887,0.01509108,0.003043816,0,0.540217,0.01258998
0,99,0.01697112,0.01472329,0.003077561,0,0.5463867,0.01273371
0,102,0.01657767,0.01436888,0.003110485,0,0.5524051,0.01287392
0,105,0.01619786,0.01402723,0.00314262,0,0.5582778,0.01301073
0,108,0.01583112,0.01369778,0.003173995,0,0.5640098,0.01314427
0,111,0.01547682,0.01337995,0.003204635,0,0.5696065,0.01327466
0,114,0.01513446,0.01307325,0.003234566,0,0.5750725,0.01340199
0,117,0.01480349,0.01277716,0.003263814,0,0.5804125,0.0135264
0,120,0.01448341,0.0124912,0.003292403,0,0.5856308,0.01364796
0,135,0.01303095,0.01119869,0.0034262,0,0.6100374,0.01421655
0,150,0.01178931,0.01010109,0.003546491,0,0.6319583,0.01472722
0,165,0.01071837,0.009160404,0.003655265,0,0.6517625,0.01518858
0,180,0.009786702,0.008346991,0.003754128,0,0.669748,0.01560757
0,195,0.008969573,0.007637596,0.003844386,0,0.6861569,0.01598983
0,210,0.008247436,0.007013911,0.003927114,0,0.7011875,0.01633998
0,225,0.007604772,0.006461462,0.004003199,0,0.7150038,0.01666185
0,240,0.007029214,0.005968763,0.00407338,0,0.7277423,0.0169586
0,255,0.006510857,0.005526658,0.00413828,0,0.7395176,0.01723291
0,270,0.006041683,0.005127775,0.004198429,0,0.7504271,0.01748706
0,285,0.005615131,0.004766114,0.004254282,0,0.7605544,0.01772298
0,300,0.005225818,0.004436781,0.004306234,0,0.7699719,0.01794237
0,315,0.00486931,0.004135769,0.004354627,0,0.7787423,0.01814668
0,330,0.00454192,0.003859772,0.004399763,0,0.7869208,0.0183372
0,345,0.004240552,0.00360603,0.004441907,0,0.7945558,0.01851506
0,360,0.003962568,0.003372209,0.004481298,0,0.801691,0.01868128
0,375,0.00370569,0.003156303,0.00451815,0,0.8083651,0.01883676
0,390,0.00346795,0.002956592,0.004552655,0,0.8146135,0.01898232
0,405,0.003247637,0.002771589,0.004584988,0,0.8204678,0.01911869
0,420,0.003043249,0.002599996,0.004615308,0,0.8259569,0.01924657
0,435,0.002853458,0.002440672,0.004643759,0,0.8311073,0.01936655
0,450,0.002677083,0.00229261,0.004670474,0,0.8359427,0.01947919
0,465,0.002513053,0.002154893,0.004695576,0,0.8404858,0.01958502
0,480,0.002360416,0.002026716,0.004719175,0,0.8447565,0.01968451
0,495,0.002218285,0.001907326,0.004741378,0,0.8487739,0.0197781
0,510,0.002085875,0.001796061,0.004762277,0,0.8525553,0.01986619
0,525,0.001962458,0.00169231,0.004781964,0,0.8561168,0.01994915
0,540,0.001847379,0.001595521,0.004800519,0,0.8594732,0.02002734
0,555,0.001740036,0.001505191,0.004818017,0,0.8626383,0.02010107
0,570,0.001639877,0.001420858,0.004834529,0,0.8656247,0.02017064
0,585,0.001546392,0.001342096,0.004850121,0,0.8684443,0.02023632
0,600,0.001459109,0.001268512,0.004864852,0,0.871108,0.02029838
0,615,0.001377596,0.001199745,0.004878779,0,0.8736261,0.02035704
0,630,0.001301437,0.001135446,0.004891955,0,0.876008,0.02041252
0,645,0.001230256,0.001075303,0.004904429,0,0.8782628,0.02046505
0,660,0.001163705,0.001019026,0.004916246,0,0.8803986,0.0205148
0,675,0.00110146,0.0009663443,0.004927448,0,0.882423,0.02056196
0,690,0.001043229,0.0009170145,0.004938073,0,0.8843432,0.02060669
0,705,0.0009887343,0.0008708078,0.004948161,0,0.8861658,0.02064915
0,720,0.0009377233,0.0008275125,0.004957743,0,0.8878969,0.02068948
0,735,0.0008899584,0.0007869318,0.004966851,0,0.8895422,0.02072781
0,750,0.0008452159,0.0007488789,0.004975515,0,0.8911071,0.02076426
0,765,0.0008032892,0.0007131822,0.004983763,0,0.8925967,0.02079896
0,780,0.0007639846,0.00067968,0.00499162,0,0.8940156,0.02083201
0,795,0.0007271224,0.0006482227,0.00499911,0,0.895368,0.02086352
0,810,0.0006925372,0.0006186727,0.005006257,0,0.8966582,0.02089358
0,825,0.0006600745,0.0005909014,0.00501308,0,0.8978899,0.02092227
0,840,0.0006295923,0.0005647905,0.005019599,0,0.8990664,0.02094968
0,855,0.0006009567,0.0005402286,0.005025832,0,0.9001913,0.02097588
0,870,0.0005740438,0.0005171124,0.005031795,0,0.9012675,0.02100095
0,885,0.0005487402,0.0004953479,0.005037506,0,0.9022978,0.02102495
0,900,0.0005249373,0.0004748444,0.005042977,0,0.903285,0.02104795
0,915,0.0005025352,0.0004555184,0.005048224,0,0.9042314,0.02106999
0,930,0.0004814416,0.0004372934,0.005053259,0,0.9051396,0.02109115
0,945,0.0004615696,0.000420097,0.005058094,0,0.9060116,0.02111146
0,960,0.0004428383,0.0004038613,0.00506274,0,0.9068494,0.02113098
0,975,0.0004251714,0.0003885232,0.005067208,0,0.907655,0.02114975
0,990,0.0004084998,0.0003740246,0.005071508,0,0.9084302,0.02116781
0,1005,0.0003927583,0.0003603112,0.005075648,0,0.9091766,0.02118519
0,1020,0.0003778846,0.000347331,0.005079639,0,0.9098958,0.02120195
0,1035,0.0003638231,0.0003350377,0.005083486,0,0.9105892,0.0212181
0,1050,0.0003505217,0.0003233874,0.005087198,0,0.9112582,0.02123368
0,1065,0.0003379304,0.0003123387,0.005090782,0,0.911904,0.02124873
0,1080,0.0003260042,0.0003018538,0.005094246,0,0.9125279,0.02126326
0,1095,0.0003147009,0.0002918975,0.005097593,0,0.913131,0.02127731
0,1110,0.0003039809,0.0002824366,0.005100831,0,0.9137142,0.0212909
0,1125,0.0002938074,0.0002734405,0.005103965,0,0.9142787,0.02130405
0,1140,0.0002841463,0.0002648805,0.005107,0,0.9148253,0.02131678
0,1155,0.0002749652,0.0002567296,0.00510994,0,0.9153548,0.02132912
0,1170,0.0002662345,0.0002489629,0.005112791,0,0.9158682,0.02134107
0,1185,0.0002579264,0.0002415571,0.005115556,0,0.916366,0.02135267
0,1200,0.0002500142,0.00023449,0.005118239,0,0.9168492,0.02136393
0,1215,0.0002424741,0.0002277413,0.005120845,0,0.9173183,0.02137486
0,1230,0.0002352835,0.0002212924,0.005123376,0,0.9177739,0.02138547
0,1245,0.0002284208,0.000215125,0.005125836,0,0.9182167,0.02139578
0,1260,0.0002218665,0.0002092226,0.005128228,0,0.9186472,0.02140581
0,1275,0.0002156025,0.0002035701,0.005130554,0,0.919066,0.02141557
0,1290,0.0002096113,0.0001981528,0.005132819,0,0.9194734,0.02142506
0,1305,0.0002038771,0.0001929574,0.005135023,0,0.9198701,0.0214343
0,1320,0.0001983851,0.0001879713,0.00513717,0,0.9202564,0.0214433
0,1335,0.0001931212,0.0001831828,0.005139262,0,0.9206328,0.02145207
0,1350,0.0001880724,0.0001785808,0.005141301,0,0.9209997,0.02146062
0,1365,0.0001832266,0.0001741553,0.005143289,0,0.9213574,0.02146895
0,1380,0.0001785722,0.0001698963,0.005145228,0,0.9217062,0.02147707
0,1395,0.0001740988,0.000165795,0.00514712,0,0.9220465,0.021485
0,1410,0.0001697963,0.0001618431,0.005148966,0,0.9223787,0.02149274
0,1425,0.0001656553,0.0001580323,0.005150769,0,0.922703,0.02150029
0,1440,0.000161667,0.0001543554,0.00515253,0,0.9230196,0.02150767
