"IndividualId","Time [min]","Organism|Gallbladder|Rifampicin [µmol]","Organism|Kidney|Urine|Rifampicin [µmol]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0
0,3,8.168131E-06,6.576544E-05,0.001620753,0.01360184,0.01440954
0,6,0.0001985162,0.001444781,0.02365934,0.08598284,0.04767377
0,9,0.00110103,0.007272112,0.09021023,0.2319815,0.0968115
0,12,0.003531382,0.02178426,0.2190206,0.462942,0.158743
0,15,0.008486651,0.04992973,0.4226698,0.7836227,0.2291333
0,18,0.01702483,0.09696848,0.7077342,1.192076,0.3036699
0,21,0.0301518,0.1680826,1.074782,1.68067,0.3786445
0,24,0.04873725,0.2680352,1.518899,2.237153,0.4511642
0,27,0.07346606,0.4008931,2.030544,2.845938,0.5191622
0,30,0.1048205,0.5698249,2.596677,3.489672,0.5813335
0,33,0.1430863,0.7769901,3.202099,4.150741,0.6370077
0,36,0.1883723,1.023517,3.830834,4.812654,0.6860194
0,39,0.2406386,1.30956,4.467358,5.460938,0.7285597
0,42,0.2997252,1.634405,5.097526,6.083656,0.7650548
0,45,0.3653812,1.996621,5.709211,6.671557,0.7960625
0,48,0.4372896,2.394213,6.292582,7.217966,0.8221977
0,51,0.5150869,2.824765,6.840136,7.718526,0.8440845
0,54,0.5983819,3.285584,7.346589,8.170882,0.8623179
0,57,0.6867704,3.773826,7.808616,8.574238,0.8774428
0,60,0.779845,4.286591,8.224535,8.929098,0.8899453
0,63,0.8772019,4.820988,8.594043,9.236982,0.9002532
0,66,0.9784479,5.374206,8.917892,9.499887,0.9087362
0,69,1.083205,5.943554,9.197595,9.720499,0.9157087
0,72,1.191113,6.526489,9.435329,9.90189,0.9214355
0,75,1.301831,7.120641,9.6336,10.04657,0.926139
0,78,1.415038,7.723806,9.795032,10.15811,0.9300044
0,81,1.530435,8.333976,9.922709,10.23991,0.933185
0,84,1.647742,8.949322,10.01941,10.29308,0.935807
0,87,1.766703,9.568161,10.08758,10.32261,0.9379746
0,90,1.887077,10.18901,10.13061,10.33076,0.939773
0,93,2.008645,10.81056,10.15101,10.31829,0.9412721
0,96,2.131203,11.43161,10.15081,10.28968,0.9425287
0,99,2.254569,12.0511,10.13257,10.24491,0.9435893
0,102,2.378573,12.6681,10.09818,10.18741,0.9444919
0,105,2.503059,13.28183,10.05023,10.11935,0.9452671
0,108,2.627888,13.89159,9.989945,10.04124,0.9459399
0,111,2.752932,14.49677,9.919064,9.953316,0.9465306
0,114,2.878074,15.09685,9.839458,9.859961,0.9470556
0,117,3.003211,15.6914,9.751626,9.760139,0.9475282
0,120,3.128248,16.28004,9.657303,9.65515,0.9479591
0,135,3.749265,19.12552,9.120918,9.084152,0.9497384
0,150,4.358247,21.79631,8.53912,8.488823,0.9512484
0,165,4.950887,24.2902,7.963882,7.911126,0.9526955
0,180,5.525093,26.61484,7.420237,7.370377,0.9541401
0,195,6.080123,28.78215,6.918258,6.873503,0.9555972
0,210,6.616019,30.80537,6.460133,6.421043,0.9570681
0,225,7.133265,32.69753,6.04414,6.010413,0.9585499
0,240,7.632575,34.47071,5.666658,5.637652,0.9600384
0,255,8.114756,36.13588,5.32431,5.299528,0.9615285
0,270,8.580624,37.70291,5.012891,4.991489,0.9630151
0,285,9.030993,39.18027,4.728154,4.709663,0.9644933
0,300,9.466625,40.57562,4.46735,4.45095,0.9659581
0,315,9.888243,41.89551,4.227712,4.213165,0.9673872
0,330,10.29648,43.14586,4.00641,3.993181,0.9687669
0,345,10.69194,44.33182,3.80134,3.789098,0.9700976
0,360,11.07514,45.45794,3.610706,3.599179,0.9713802
0,375,11.44657,46.52831,3.432968,3.421943,0.9726156
0,390,11.80666,47.54657,3.266832,3.256144,0.9738045
0,405,12.15581,48.51604,3.111178,3.100695,0.974948
0,420,12.4944,49.43971,2.965053,2.954674,0.976047
0,435,12.82277,50.32032,2.82764,2.817267,0.9771027
0,450,13.14124,51.16036,2.698176,2.687733,0.9781162
0,465,13.45011,51.96214,2.576091,2.565581,0.9790886
0,480,13.74967,52.7278,2.460829,2.450204,0.9800212
0,495,14.04018,53.4593,2.351736,2.340876,0.9809151
0,510,14.32191,54.15843,2.248454,2.237461,0.9817716
0,525,14.59511,54.82694,2.150802,2.139579,0.9825919
0,540,14.86001,55.46642,2.058078,2.04662,0.9833771
0,555,15.11686,56.07833,1.970193,1.958601,0.9841285
0,570,15.36587,56.66412,1.886909,1.875101,0.9848473
0,585,15.60726,57.22511,1.807688,1.795569,0.9855346
0,600,15.84125,57.76247,1.73237,1.720113,0.9861916
0,615,16.06805,58.27742,1.660934,1.648481,0.9868194
0,630,16.28786,58.77105,1.592931,1.580171,0.9874192
0,645,16.50089,59.24437,1.528156,1.515283,0.987992
0,660,16.70733,59.69838,1.466624,1.4535,0.9885389
0,675,16.90738,60.134,1.407999,1.394703,0.9890609
0,690,17.10122,60.5521,1.352178,1.338753,0.989559
0,705,17.28905,60.95356,1.299141,1.285482,0.9900342
0,720,17.47104,61.33915,1.248589,1.234846,0.9904874
0,735,17.64737,61.70962,1.200426,1.186505,0.9909196
0,750,17.81821,62.06569,1.154543,1.140437,0.9913316
0,765,17.98375,62.40803,1.11081,1.096619,0.9917243
0,780,18.14414,62.73729,1.069116,1.054803,0.9920984
0,795,18.29956,63.05407,1.029385,1.01491,0.9924549
0,810,18.45016,63.35895,0.9914977,0.9769641,0.9927945
0,825,18.5961,63.65249,0.9553882,0.9407372,0.9931179
0,840,18.73754,63.93522,0.9209403,0.9062006,0.9934258
0,855,18.87463,64.20763,0.8880898,0.873268,0.993719
0,870,19.00751,64.47021,0.8567551,0.8418588,0.9939981
0,885,19.13633,64.7234,0.8268623,0.8118991,0.9942637
0,900,19.26122,64.96763,0.7983421,0.7833191,0.9945164
0,915,19.38234,65.20332,0.7711281,0.7560521,0.9947569
0,930,19.4998,65.43086,0.7451573,0.7300351,0.9949856
0,945,19.61374,65.65062,0.7203701,0.7052081,0.9952032
0,960,19.72428,65.86295,0.6967097,0.681514,0.9954101
0,975,19.83154,66.0682,0.6741225,0.6588989,0.9956069
0,990,19.93565,66.26669,0.6525567,0.637311,0.9957939
0,1005,20.03671,66.4587,0.6319643,0.6167017,0.9959718
0,1020,20.13485,66.64455,0.6122981,0.597024,0.9961408
0,1035,20.23016,66.82452,0.5935146,0.5782338,0.9963015
0,1050,20.32276,66.99885,0.5755715,0.5602887,0.9964541
0,1065,20.41273,67.16781,0.558429,0.5431488,0.9965992
0,1080,20.50019,67.33163,0.5420488,0.5267753,0.996737
0,1095,20.58522,67.49055,0.5263946,0.5111321,0.996868
0,1110,20.66792,67.64478,0.5114322,0.4961844,0.9969923
0,1125,20.74838,67.79454,0.4971285,0.4818993,0.9971104
0,1140,20.82668,67.94001,0.4834523,0.4682449,0.9972226
0,1155,20.9029,68.08139,0.4703738,0.4551917,0.9973291
0,1170,20.97712,68.21886,0.4578649,0.4427114,0.9974303
0,1185,21.04942,68.35258,0.4458982,0.4307761,0.9975263
0,1200,21.11988,68.48273,0.4344481,0.4193601,0.9976174
0,1215,21.18856,68.60944,0.4234903,0.4084393,0.9977039
0,1230,21.25553,68.73289,0.4130016,0.3979902,0.997786
0,1245,21.32086,68.8532,0.4029593,0.3879897,0.997864
0,1260,21.38461,68.9705,0.3933423,0.3784165,0.997938
0,1275,21.44685,69.08495,0.384131,0.3692515,0.9980081
0,1290,21.50763,69.19662,0.375306,0.3604751,0.9980747
0,1305,21.567,69.30568,0.3668483,0.3520673,0.9981379
0,1320,21.62502,69.4122,0.358741,0.3440115,0.9981978
0,1335,21.68175,69.5163,0.3509685,0.336293,0.9982547
0,1350,21.73723,69.6181,0.3435139,0.3288939,0.9983086
0,1365,21.79151,69.71766,0.3363612,0.3217969,0.9983597
0,1380,21.84464,69.81509,0.3294978,0.3149911,0.9984083
0,1395,21.89665,69.91048,0.3229114,0.3084654,0.9984542
0,1410,21.9476,70.0039,0.3165856,0.3022001,0.9984978
0,1425,21.99752,70.09544,0.3105074,0.296181,0.9985392
0,1440,22.04646,70.18517,0.3046698,0.2904062,0.9985784
0,1455,22.10833,70.32355,0.720453,1.065392,0.6136657
0,1470,22.3123,70.93251,2.867392,3.733553,0.7895331
0,1485,22.77984,72.44387,5.914041,6.837976,0.8967862
0,1500,23.48966,74.80347,8.337442,8.996993,0.9436716
0,1515,24.363,77.68351,9.645303,10.01098,0.96174
0,1530,25.32641,80.76985,10.04404,10.19678,0.968541
0,1545,26.32688,83.85232,9.875064,9.89946,0.9712839
0,1560,27.33001,86.81413,9.406775,9.363168,0.9726375
0,1575,28.31498,89.60088,8.809777,8.7352,0.973542
0,1590,29.27005,92.19467,8.180973,8.09614,0.9743133
0,1605,30.18925,94.59712,7.570505,7.48607,0.9750501
0,1620,31.07015,96.81918,7.001359,6.922219,0.9757808
0,1635,31.91243,98.87554,6.48171,6.409657,0.9765131
0,1650,32.71697,100.7817,6.012138,5.947383,0.9772488
0,1665,33.48528,102.5525,5.589634,5.531655,0.9779877
0,1680,34.21918,104.2016,5.209749,5.157729,0.9787287
0,1695,34.92059,105.741,4.867698,4.820761,0.9794699
0,1710,35.59141,107.1816,4.558895,4.516209,0.9802094
0,1725,36.23346,108.5326,4.279181,4.240008,0.9809451
0,1740,36.84846,109.8022,4.024901,3.988604,0.9816747
0,1755,37.438,110.9978,3.792876,3.758908,0.9823911
0,1770,38.00352,112.1254,3.5803,3.548183,0.9830834
0,1785,38.54638,113.1906,3.384789,3.354142,0.9837518
0,1800,39.06777,114.1984,3.20436,3.174927,0.9843967
0,1815,39.56881,115.1529,3.037238,3.008797,0.9850184
0,1830,40.05051,116.058,2.882273,2.854455,0.9856176
0,1845,40.51379,116.9172,2.737949,2.710771,0.9861947
0,1860,40.95954,117.7337,2.603457,2.576693,0.9867504
0,1875,41.38855,118.5101,2.477773,2.451391,0.987285
0,1890,41.80157,119.2491,2.360055,2.333949,0.9877992
0,1905,42.1993,119.953,2.249796,2.223901,0.9882936
0,1920,42.5824,120.6241,2.146287,2.120559,0.9887689
0,1935,42.95148,121.2642,2.049006,2.023406,0.9892254
0,1950,43.30715,121.8752,1.957471,1.931968,0.9896639
0,1965,43.64994,122.4589,1.871268,1.845838,0.9900848
0,1980,43.98041,123.0167,1.790017,1.764641,0.9904888
0,1995,44.29904,123.5502,1.713364,1.688024,0.9908765
0,2010,44.60632,124.0607,1.640997,1.615687,0.9912483
0,2025,44.90271,124.5495,1.572632,1.547344,0.9916049
0,2040,45.18866,125.0178,1.50801,1.482736,0.9919467
0,2055,45.46457,125.4666,1.446889,1.421626,0.9922742
0,2070,45.73087,125.8971,1.389046,1.363794,0.9925881
0,2085,45.98793,126.3102,1.334283,1.309042,0.9928887
0,2100,46.23613,126.7069,1.282411,1.257179,0.9931767
0,2115,46.47584,127.0879,1.23326,1.208044,0.9934524
0,2130,46.70739,127.4542,1.18666,1.161452,0.9937162
0,2145,46.93111,127.8064,1.14248,1.117302,0.9939688
0,2160,47.14733,128.1453,1.100564,1.075398,0.9942104
0,2175,47.35635,128.4716,1.060794,1.035662,0.9944415
0,2190,47.55846,128.7859,1.023007,0.9978806,0.9946626
0,2205,47.75395,129.0889,0.9871083,0.9620139,0.9948739
0,2220,47.94309,129.381,0.9530439,0.9280205,0.995076
0,2235,48.12615,129.6629,0.9207034,0.8957064,0.9952691
0,2250,48.30337,129.935,0.8899376,0.8649655,0.9954537
0,2265,48.47499,130.1979,0.8606712,0.8357597,0.9956301
0,2280,48.64126,130.4519,0.832831,0.8079644,0.9957986
0,2295,48.80238,130.6976,0.8064161,0.7816476,0.9959595
0,2310,48.95857,130.9353,0.7812361,0.7564791,0.9961132
0,2325,49.11005,131.1654,0.757257,0.7325802,0.9962599
0,2340,49.257,131.3883,0.734429,0.7098106,0.9964
0,2355,49.39962,131.6043,0.7126944,0.688151,0.9965338
0,2370,49.53808,131.8138,0.6920202,0.6675529,0.9966614
0,2385,49.67256,132.017,0.6722653,0.6478649,0.9967831
0,2400,49.80323,132.2143,0.6534734,0.6291703,0.9968993
0,2415,49.93025,132.406,0.6355796,0.6113468,0.9970101
0,2430,50.05377,132.5922,0.6184438,0.5942923,0.9971159
0,2445,50.17393,132.7733,0.6021526,0.5781034,0.9972166
0,2460,50.29088,132.9495,0.5865835,0.5626251,0.9973128
0,2475,50.40475,133.121,0.5717291,0.547862,0.9974045
0,2490,50.51566,133.2881,0.5575462,0.5337747,0.9974918
0,2505,50.62375,133.4508,0.5439974,0.5203236,0.9975751
0,2520,50.72913,133.6095,0.5310516,0.5074775,0.9976544
0,2535,50.8319,133.7644,0.5186779,0.4952056,0.9977301
0,2550,50.93219,133.9155,0.5068474,0.4834785,0.9978021
0,2565,51.03008,134.063,0.4955321,0.4722681,0.9978708
0,2580,51.12569,134.2072,0.4847054,0.461548,0.9979362
0,2595,51.21909,134.3481,0.4743426,0.4512932,0.9979985
0,2610,51.31039,134.4859,0.4644201,0.44148,0.9980578
0,2625,51.39967,134.6207,0.4549155,0.4320859,0.9981143
0,2640,51.48701,134.7527,0.4458079,0.42309,0.9981681
0,2655,51.57248,134.8819,0.4370771,0.414472,0.9982193
0,2670,51.65617,135.0085,0.4287044,0.4062129,0.9982679
0,2685,51.73813,135.1327,0.4206717,0.3982947,0.9983144
0,2700,51.81845,135.2544,0.412962,0.3907003,0.9983585
0,2715,51.89718,135.3738,0.4055592,0.3834136,0.9984005
0,2730,51.97439,135.491,0.398448,0.376419,0.9984405
0,2745,52.05013,135.6061,0.3916139,0.3697022,0.9984785
0,2760,52.12447,135.7191,0.3850431,0.3632491,0.9985147
0,2775,52.19745,135.8302,0.3787225,0.3570469,0.9985491
0,2790,52.26913,135.9394,0.3726399,0.3510829,0.9985818
0,2805,52.33955,136.0468,0.3667836,0.3453455,0.9986129
0,2820,52.40876,136.1524,0.3611423,0.3398234,0.9986426
0,2835,52.47681,136.2563,0.3557057,0.3345062,0.9986707
0,2850,52.54374,136.3587,0.3504636,0.3293837,0.9986975
0,2865,52.60959,136.4595,0.3454067,0.3244466,0.9987229
0,2880,52.67439,136.5587,0.3405259,0.3196857,0.9987471
0,2895,52.75557,136.7065,0.7504884,1.082877,0.7420242
0,2910,53.01408,137.3204,2.85979,3.70273,0.8591971
0,2925,53.59962,138.8263,5.844817,6.740795,0.9306623
0,2940,54.48286,141.1665,8.202675,8.834037,0.961903
0,2955,55.56375,144.0117,9.450127,9.788723,0.9739369
0,2970,56.74999,147.0475,9.796112,9.923614,0.9784635
0,2985,57.97552,150.0647,9.583461,9.584889,0.9802892
0,3000,59.19786,152.9487,9.081081,9.016932,0.9811926
0,3015,60.39159,155.6476,8.459129,8.366302,0.9817989
0,3030,61.54268,158.1459,7.813395,7.712342,0.9823166
0,3045,62.64424,160.4474,7.192641,7.093683,0.9828104
0,3060,63.69382,162.565,6.618483,6.526199,0.9832987
0,3075,64.69154,164.5149,6.097885,6.013787,0.9837857
0,3090,65.63895,166.3138,5.630429,5.554518,0.9842743
0,3105,66.53842,167.9773,5.21238,5.143976,0.9847651
0,3120,67.39262,169.5199,4.838589,4.776565,0.9852569
0,3135,68.20432,170.9542,4.504114,4.447628,0.9857488
0,3150,68.97623,172.2914,4.203663,4.152203,0.9862397
0,3165,69.71095,173.541,3.933001,3.885227,0.986728
0,3180,70.4109,174.7116,3.688167,3.643565,0.9872125
0,3195,71.07835,175.8104,3.465917,3.423927,0.9876895
0,3210,71.71534,176.844,3.263324,3.223437,0.9881508
0,3225,72.32376,177.8178,3.0779,3.039716,0.9885964
0,3240,72.90532,178.7368,2.907582,2.870781,0.9890264
0,3255,73.46159,179.6053,2.750636,2.714963,0.9894412
0,3270,73.99398,180.4272,2.605592,2.570843,0.9898411
0,3285,74.50383,181.206,2.471231,2.437299,0.9902266
0,3300,74.99232,181.9447,2.346581,2.313238,0.9905979
0,3315,75.46059,182.6462,2.230405,2.19761,0.9909556
0,3330,75.90968,183.3129,2.122088,2.089725,0.9912999
0,3345,76.34057,183.9473,2.021044,1.989071,0.9916312
0,3360,76.75414,184.5513,1.926562,1.894822,0.9919499
0,3375,77.15127,185.1269,1.838037,1.806586,0.9922564
0,3390,77.53273,185.676,1.755051,1.723853,0.9925511
0,3405,77.89928,186.2001,1.677216,1.646187,0.9928344
0,3420,78.25163,186.7008,1.604078,1.57321,0.9931065
0,3435,78.59045,187.1795,1.535302,1.504589,0.993368
0,3450,78.91638,187.6375,1.47058,1.440006,0.9936191
0,3465,79.23001,188.0759,1.409625,1.379177,0.9938601
0,3480,79.53191,188.496,1.352168,1.321843,0.9940915
0,3495,79.82262,188.8988,1.297979,1.267767,0.9943135
0,3510,80.10268,189.2852,1.246843,1.21674,0.9945266
0,3525,80.37254,189.6561,1.198559,1.168559,0.9947309
0,3540,80.6327,190.0125,1.152943,1.123047,0.9949268
0,3555,80.88359,190.3551,1.109824,1.08003,0.9951147
0,3570,81.12563,190.6846,1.069045,1.039348,0.9952947
0,3585,81.35923,191.0019,1.030464,1.000872,0.9954673
0,3600,81.58477,191.3075,0.9939393,0.9644424,0.9956326
0,3615,81.80262,191.602,0.9593536,0.9299623,0.995791
0,3630,82.01313,191.8861,0.9265776,0.8972884,0.9959427
0,3645,82.21664,192.1602,0.8955107,0.8663208,0.996088
0,3660,82.41344,192.425,0.8660777,0.8370141,0.996227
0,3675,82.60387,192.6809,0.83813,0.8091397,0.9963601
0,3690,82.7882,192.9283,0.8116207,0.7827736,0.9964876
0,3705,82.96671,193.1678,0.7864705,0.7577221,0.9966094
0,3720,83.13965,193.3996,0.7625737,0.7339395,0.996726
0,3735,83.30728,193.6241,0.7398635,0.7113445,0.9968376
0,3750,83.46985,193.8419,0.7182961,0.6899043,0.9969442
0,3765,83.62757,194.0531,0.6977916,0.6695135,0.9970463
0,3780,83.78067,194.2581,0.6782691,0.6500982,0.9971438
0,3795,83.92934,194.4572,0.6596867,0.6316581,0.997237
0,3810,84.0738,194.6507,0.6420294,0.6141288,0.9973261
0,3825,84.21423,194.8389,0.625222,0.5974406,0.9974113
0,3840,84.35078,195.0219,0.6091704,0.5815085,0.9974926
0,3855,84.48367,195.2002,0.5938902,0.5663747,0.9975703
0,3870,84.61303,195.3738,0.5793478,0.5519639,0.9976445
0,3885,84.73901,195.5431,0.5654481,0.5381759,0.9977154
0,3900,84.86179,195.7081,0.5521816,0.5250651,0.9977831
0,3915,84.98148,195.8692,0.5395448,0.5125645,0.9978477
0,3930,85.09821,196.0264,0.5274662,0.5006063,0.9979094
0,3945,85.21213,196.18,0.5159109,0.4891993,0.9979683
0,3960,85.32335,196.3302,0.5048792,0.4783075,0.9980245
0,3975,85.43198,196.477,0.4943356,0.4678999,0.9980781
0,3990,85.53814,196.6206,0.4842448,0.4579501,0.9981292
0,4005,85.64192,196.7612,0.4745858,0.4484325,0.9981781
0,4020,85.74344,196.8989,0.465338,0.4393263,0.9982246
0,4035,85.84277,197.0338,0.4564794,0.4306098,0.998269
0,4050,85.94002,197.1661,0.4479887,0.4222618,0.9983113
0,4065,86.03526,197.2958,0.4398468,0.414263,0.9983517
0,4080,86.12858,197.4231,0.4320353,0.4065951,0.9983902
0,4095,86.22005,197.548,0.4245373,0.3992411,0.9984269
0,4110,86.30975,197.6707,0.4173369,0.3921849,0.9984618
0,4125,86.39776,197.7912,0.4104187,0.3854109,0.9984952
0,4140,86.48412,197.9096,0.403768,0.3789047,0.9985269
0,4155,86.56892,198.0261,0.397371,0.3726523,0.9985572
0,4170,86.6522,198.1407,0.3912149,0.3666408,0.998586
0,4185,86.73403,198.2534,0.3852874,0.3608579,0.9986135
0,4200,86.81446,198.3643,0.379577,0.3552921,0.9986396
0,4215,86.89354,198.4735,0.3740728,0.3499324,0.9986646
0,4230,86.97132,198.5811,0.3687644,0.3447683,0.9986883
0,4245,87.04785,198.6872,0.363642,0.3397902,0.9987109
0,4260,87.12318,198.7917,0.3586965,0.3349886,0.9987324
0,4275,87.19733,198.8947,0.3539188,0.3303548,0.9987528
0,4290,87.27037,198.9963,0.3493008,0.3258803,0.9987723
0,4305,87.34232,199.0965,0.3448347,0.3215574,0.9987909
0,4320,87.41322,199.1954,0.340513,0.3173786,0.9988085
0,4335,87.50263,199.3426,0.746694,1.072988,0.8062335
0,4350,87.7909,199.9529,2.832575,3.663009,0.8940915
0,4365,88.44471,201.4484,5.78022,6.661296,0.9476794
0,4380,89.42955,203.7698,8.099755,8.71622,0.9711046
0,4395,90.63217,206.5869,9.312367,9.636858,0.9801266
0,4410,91.94876,209.5856,9.628356,9.742951,0.9835194
0,4425,93.30531,212.5574,9.391224,9.381137,0.9848879
0,4440,94.65443,215.3888,8.870094,8.795806,0.9855657
0,4455,95.96798,218.0296,8.234756,8.133169,0.9860213
0,4470,97.23056,220.4656,7.580337,7.471704,0.9864106
0,4485,98.43484,222.7022,6.954772,6.849226,0.9867815
0,4500,99.57837,224.7531,6.37886,6.280792,0.9871477
0,4515,100.6616,226.6355,5.858789,5.769446,0.9875115
0,4530,101.6867,228.3667,5.393589,5.313287,0.9878761
0,4545,102.6564,229.963,4.979212,4.90644,0.9882434
0,4560,103.574,231.4392,4.610266,4.544388,0.9886115
0,4575,104.443,232.8082,4.280923,4.220885,0.9889796
0,4590,105.2666,234.0813,3.986151,3.931157,0.9893468
0,4605,106.0479,235.2683,3.721356,3.670322,0.9897122
0,4620,106.7897,236.3778,3.482809,3.435098,0.9900749
0,4635,107.4949,237.4173,3.266902,3.221931,0.9904323
0,4650,108.1658,238.3932,3.070689,3.027941,0.990778
0,4665,108.8047,239.3111,2.891635,2.8507,0.9911119
0,4680,109.4136,240.1759,2.727639,2.688189,0.9914343
0,4695,109.9944,240.992,2.576941,2.538714,0.9917452
0,4710,110.5488,241.7632,2.438058,2.400843,0.9920452
0,4725,111.0784,242.493,2.309726,2.273353,0.9923344
0,4740,111.5845,243.1845,2.190862,2.155195,0.992613
0,4755,112.0685,243.8403,2.080534,2.045459,0.9928815
0,4770,112.5316,244.4631,1.977932,1.943356,0.99314
